Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
National Fertilizers,4.3,Not Available,Not Available,Agro Chemicals,Bathinda,37
Etech Global Services,3.6,Not Available,Not Available,BPO,Gandhinagar,12
Venkateshwara Hatcheries,3.8,"Job Security, Work Life Balance","Promotions, Salary",Food Processing,Pune,62
Dixit Infotech Services,3.5,Not Available,Not Available,IT Services & Consulting,Mumbai,44
Cheil India,2.9,Not Available,Not Available,Marketing & Advertising,Gurugram,23
Pawzz,4.5,Not Available,Not Available,Gurugram +13 other locations,Not Available,1
Euler Motors,3.6,Not Available,Not Available,Automobile,New Delhi,32
Roop Automotives,4.2,Not Available,Not Available,Auto Components,Gurugram,15
L&T Heavy Engineering,3.8,"Job Security, Skill Development","Promotions, Work Life Balance, Company Culture",Surat +27 other locations,Not Available,1
Azentio,3.1,Not Available,Not Available,Software Product,Chennai,17
American Axle & Manufacturing,4.3,Not Available,Not Available,Auto Components,Pune,12
UCAL Fuel Systems,3.8,Not Available,Not Available,Auto Components,Chennai,21
ABC Consultants,3.9,Not Available,Not Available,Recruitment,Bengaluru,28
Uplers,3.6,Not Available,Not Available,Internet,Ahmedabad,13
Welspun Flooring,3.8,Skill Development,Promotions,Building Material,Hyderabad,27
SMS India Private Limited,4.1,"Work Life Balance, Company Culture, Job Security",Promotions,Engineering & Construction,Gurugram,23
Auro Realty Private Limited,4.4,Not Available,Not Available,Real Estate,Hyderabad,27
Adroit Synergies,3.2,Not Available,Not Available,BPO,Noida,9
Pearson Education India,3.9,"Work Life Balance, Company Culture, Salary",Promotions,Education & Training,Bengaluru,58
Aeries Technology,3.1,Not Available,Not Available,IT Services & Consulting,Bengaluru,8
ClearTax,3.0,Not Available,Not Available,IT Services & Consulting,Bengaluru,11
Thyssenkrupp Industrial Solutions,4.1,"Work Life Balance, Salary, Company Culture",Promotions,Industrial Machinery,Mumbai,29
The Phoenix Mills,3.9,Salary,Promotions,Real Estate,Mumbai,18
Nyati Group,4.2,Not Available,Not Available,Real Estate,Pune,18
Connectwise India,3.3,Not Available,Not Available,IT Services & Consulting,Pune,10
GE Vernova T&D India,4.2,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Power,Chennai,40
Sunstone,3.7,Work Life Balance,"Promotions, Job Security",Education & Training,Gurugram,26
TVS Mobility,4.0,"Job Security, Company Culture, Skill Development",Promotions,Automobile,Chennai,73
Dorset Industries,4.4,Not Available,Not Available,Building Material,Gurugram,53
Wonderla Holidays,4.4,Not Available,Not Available,Events,Bengaluru,17
Writer Corporation,3.4,Not Available,Not Available,Logistics,Mumbai,59
The Hans Foundation,4.1,"Salary, Work Life Balance, Company Culture",Job Security,Non-Profit,New Delhi,85
Christian Medical College,4.1,Not Available,Not Available,Education & Training,Vellore,31
Mettler-Toledo,3.6,Not Available,Not Available,Electrical Equipment,Mumbai,24
Air Liquide,3.5,Not Available,Not Available,Chemicals,New Delhi,36
CEVA Logistics,3.7,Not Available,Not Available,Logistics,Mumbai,50
GMR Hyderabad International Airport,4.1,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",Aviation,Hyderabad,16
Burns & McDonnell,4.1,Not Available,Not Available,Engineering & Construction,Mumbai,12
Huron,3.6,Salary,"Promotions, Work Satisfaction",Management Consulting,Bengaluru,15
S. M. Auto Engineering,3.4,Not Available,Not Available,Auto Components,Pune,8
Triumphant Institute of Management Education,3.7,Not Available,Not Available,Education & Training,Hyderabad,74
Dorf Ketal Chemicals,4.0,"Work Life Balance, Company Culture, Job Security",Promotions,Oil & Gas,Mumbai,40
Kuehne + Nagel,3.6,Not Available,Not Available,Logistics,Gurugram,35
Mindlance,3.6,Not Available,Not Available,Recruitment,Noida,13
Mantra Properties,4.3,Not Available,Not Available,Real Estate,Pune,2
Shree Baidyanath Ayurved Bhawan,3.9,"Work Life Balance, Job Security",Promotions,Pharma,Kolkata,45
Evoke Technologies,3.7,Not Available,Not Available,IT Services & Consulting,Hyderabad,5
Karamtara Engineering Limited,3.6,Not Available,Not Available,Engineering & Construction,Mumbai,17
Parksons Packaging,4.0,Not Available,Not Available,Packaging,Mumbai,28
Icertis,3.3,Not Available,Not Available,Software Product,Pune,13
CANTABIL RETAIL INDIA,3.9,Skill Development,Promotions,Fashion & Textile,New Delhi,109
Tirumala Milk Products,4.2,Not Available,Not Available,Food Processing,Chennai,56
Karvy DigiKonnect,3.2,Not Available,Not Available,Financial Services,Hyderabad,21
Nobel Hygiene,3.9,Salary,Promotions,Healthcare,Mumbai,89
Muthoot Housing Finance Company,4.1,Not Available,Not Available,NBFC,Mumbai,115
Netlink Software,3.2,Not Available,Not Available,IT Services & Consulting,Bhopal,32
Bosch Rexroth India,3.9,Work Life Balance,"Promotions, Salary",Industrial Machinery,Ahmedabad,20
Federal Mogul Goetze,4.0,"Company Culture, Work Life Balance",Promotions,Auto Components,Bengaluru,33
Hajee A P Bava Construction,3.8,Skill Development,"Promotions, Salary",Engineering & Construction,Hyderabad,64
Agilent Technologies,3.9,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Pharma,Gurugram,21
ABM Knowledgeware,3.7,Not Available,Not Available,IT Services & Consulting,Mumbai,42
Marelli Motherson Automotive Lighting,3.7,Job Security,"Promotions, Company Culture, Work Life Balance",Auto Components,Pune,16
Nuziveedu Seeds,3.8,Work Life Balance,Promotions,Agriculture,Hyderabad,69
BCH Electric,4.0,Not Available,Not Available,Electrical Equipment,Faridabad,41
Indian Metals & Ferro Alloys,3.7,Job Security,"Promotions, Salary, Company Culture",Iron & Steel,Bhubaneswar,25
Publicis,3.5,Not Available,Not Available,Marketing & Advertising,Gurugram,17
D.p. Jain & Co. Infrastructure Pvt .,3.2,Not Available,Not Available,Engineering & Construction,Nagpur,43
Jamna Auto Industries,3.8,Not Available,Not Available,Auto Components,Gwalior,41
Examity,3.3,Not Available,Not Available,EdTech,Hyderabad,7
Kcc Buildcon,4.0,Not Available,Not Available,Engineering & Construction,Gurugram,61
Accel Frontline,4.3,Not Available,Not Available,IT Services & Consulting,Chennai,55
SPRINKLR,2.9,Not Available,Not Available,Software Product,Bengaluru,9
AccorHotels,4.3,Not Available,Not Available,Hospitality,New Delhi,43
Scientific Publishing Services,3.8,Job Security,"Salary, Promotions, Skill Development",Analytics & KPO,Chennai,8
Gps Renewables,4.0,Not Available,Not Available,Oil & Gas,Bengaluru,42
Thermax Babcock Wilcox Energy Solutions,4.1,"Job Security, Company Culture, Skill Development",Promotions,Industrial Machinery,Pune,42
Ess Kay Fincorp,4.2,Not Available,Not Available,NBFC,Jaipur,109
Medline Industries India Private Limited,3.8,"Work Life Balance, Company Culture","Promotions, Skill Development",Medical Equipment,Pune,9
Supertech,3.9,"Work Life Balance, Job Security",Promotions,Real Estate,Noida,21
