Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
TCS,3.3,Job Security,"Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,449
Accenture,3.7,Not Available,Not Available,IT Services & Consulting,Bengaluru,262
Wipro,3.6,Not Available,Not Available,IT Services & Consulting,Hyderabad,376
Cognizant,3.7,Not Available,Not Available,IT Services & Consulting,Hyderabad,234
Capgemini,3.6,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,188
HDFC Bank,3.8,"Job Security, Skill Development","Promotions, Salary",Banking,Mumbai,1859
Infosys,3.5,Job Security,"Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,248
HCLTech,3.4,Not Available,Not Available,IT Services & Consulting,Chennai,232
ICICI Bank,3.9,Not Available,Not Available,Banking,Mumbai,1448
Tech Mahindra,3.3,Not Available,Not Available,IT Services & Consulting,Hyderabad,324
Genpact,3.6,Job Security,"Promotions, Salary, Work Satisfaction",Analytics & KPO,Hyderabad,182
TP,3.9,Not Available,Not Available,BPO,Mumbai,259
Jio,4.4,Not Available,Not Available,Telecom,Mumbai,1966
Axis Bank,3.6,Not Available,Not Available,Banking,Mumbai,1531
Concentrix Corporation,3.6,Job Security,"Promotions, Salary, Work Satisfaction",BPO,Bengaluru,186
Amazon,3.9,"Company Culture, Work Life Balance, Salary",Promotions,Internet,Bengaluru,522
Reliance Retail,3.9,"Job Security, Skill Development, Work Life Balance",Promotions,Retail,Mumbai,1167
iEnergizer,4.6,Not Available,Not Available,BPO,Noida,55
LTIMindtree,3.6,Not Available,Not Available,IT Services & Consulting,Bengaluru,146
HDB Financial Services,3.9,Job Security,"Promotions, Salary",NBFC,Mumbai,1099
IBM,3.9,"Work Life Balance, Company Culture, Job Security",Promotions,IT Services & Consulting,Bengaluru,163
Larsen & Toubro Limited,3.9,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",Engineering & Construction,Mumbai,777
Deloitte,3.6,Not Available,Not Available,Management Consulting,Hyderabad,187
Kotak Mahindra Bank,3.6,Not Available,Not Available,Banking,Mumbai,694
Reliance Industries,4.0,"Job Security, Work Life Balance, Skill Development",Promotions,Oil & Gas,Jamnagar,823
Vodafone Idea,3.9,"Salary, Company Culture, Work Life Balance",Promotions,Telecom,Pune,708
Bharti Airtel,3.8,Not Available,Not Available,Telecom,Gurugram,798
BYJU'S,3.2,Not Available,Not Available,EdTech,Bengaluru,322
WNS,3.3,Not Available,Not Available,IT Services & Consulting,Pune,68
IDFC FIRST Bank,4.0,Not Available,Not Available,Banking,Mumbai,743
Ernst & Young,3.4,Not Available,Not Available,Management Consulting,Bengaluru,136
IndusInd Bank,3.4,Not Available,Not Available,Banking,Mumbai,804
AU Small Finance Bank,3.8,Not Available,Not Available,Banking,Jaipur,807
Tata Motors,4.1,"Job Security, Company Culture, Work Life Balance",Promotions,Automobile,Pune,508
Bajaj Finserv,3.9,Not Available,Not Available,NBFC,Pune,1218
Muthoot FinCorp,4.5,Not Available,Not Available,NBFC,Bengaluru,1126
Flipkart,3.9,"Skill Development, Salary",Promotions,Internet,Bengaluru,559
PwC,3.3,Not Available,Not Available,Management Consulting,Bengaluru,138
HDFC Life,3.8,Skill Development,Promotions,Insurance,Mumbai,721
Mahindra & Mahindra,4.0,"Job Security, Skill Development, Company Culture",Promotions,Automobile,Pune,571
Infosys BPM,3.5,Job Security,"Promotions, Salary, Work Satisfaction",BPO,Bengaluru,96
DXC Technology,3.6,Work Life Balance,"Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,132
Bandhan Bank,3.7,Not Available,Not Available,Banking,Kolkata,1020
Digitide Solutions,3.5,Not Available,Not Available,IT Services & Consulting,Hyderabad,276
Yes Bank,3.7,Not Available,Not Available,Banking,Mumbai,545
Mphasis,3.3,Not Available,Not Available,IT Services & Consulting,Bengaluru,64
Tata Steel,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Iron & Steel,Jamshedpur,229
Quess,3.8,Not Available,Not Available,Recruitment,Bengaluru,766
Asian Paints,3.9,"Salary, Skill Development, Job Security",Promotions,Chemicals,Mumbai,562
UltraTech Cement,4.1,"Job Security, Skill Development, Company Culture",Promotions,Building Material,Mumbai,545
Startek,3.0,Not Available,Not Available,BPO,Bengaluru,105
Maruti Suzuki,4.1,Not Available,Not Available,Automobile,Gurugram,461
Paytm,3.2,Not Available,Not Available,FinTech,Noida,429
Bajaj Finance,3.9,Not Available,Not Available,NBFC,Pune,1008
Shriram Finance,3.9,"Job Security, Company Culture, Work Life Balance",Promotions,NBFC,Chennai,1127
Sutherland Global Services,3.3,Not Available,Not Available,BPO,Chennai,83
Equitas Small Finance Bank,4.3,Not Available,Not Available,Banking,Chennai,487
Coforge,3.3,Not Available,Not Available,IT Services & Consulting,Hyderabad,114
Wells Fargo,3.6,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",Financial Services,Bengaluru,28
Cipla,4.1,Not Available,Not Available,Pharma,Mumbai,297
EXL Service,3.6,Job Security,"Promotions, Salary, Skill Development",Analytics & KPO,Noida,63
Ericsson,3.9,"Work Life Balance, Company Culture","Promotions, Salary",Telecom,Noida,162
Samsung,3.9,"Work Life Balance, Salary",Promotions,Consumer Electronics & Appliances,Noida,583
Dr. Reddy's,4.0,"Company Culture, Work Life Balance, Skill Development",Promotions,Pharma,Hyderabad,217
Optum Global Solutions,4.0,"Job Security, Work Life Balance, Company Culture",Promotions,IT Services & Consulting,Hyderabad,70
JSW Steel,3.9,"Job Security, Skill Development",Promotions,Iron & Steel,Ballari,202
Delhivery,3.8,Not Available,Not Available,Logistics,Gurugram,769
JPMorgan Chase & Co.,3.8,"Job Security, Salary",Promotions,Financial Services,Bengaluru,57
ICICI Prudential Life Insurance,3.9,Not Available,Not Available,Insurance,Mumbai,514
Hexaware Technologies,3.4,Not Available,Not Available,IT Services & Consulting,Chennai,72
Sun Pharmaceutical Industries,4.1,Not Available,Not Available,Pharma,Vadodara,267
Ujjivan Small Finance Bank,4.0,Not Available,Not Available,Banking,Bengaluru,547
Jana Small Finance Bank,3.7,Salary,Promotions,Banking,Bengaluru,429
Zydus Lifesciences,4.0,Not Available,Not Available,Pharma,Ahmedabad,185
Ekart Logistics,3.9,Skill Development,Promotions,Logistics,Bengaluru,742
HGS,3.7,Not Available,Not Available,Emerging Technologies,Bengaluru,123
Amazon Development Centre India,3.8,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",Internet,Hyderabad,147
KPMG India,3.4,Not Available,Not Available,Management Consulting,Bengaluru,113
Lupin,4.1,"Company Culture, Skill Development, Work Life Balance",Promotions,Pharma,Pune,206
Axis Max Life Insurance,4.0,Not Available,Not Available,Insurance,New Delhi,513
L&T Construction,4.0,"Job Security, Skill Development, Salary","Work Life Balance, Promotions",Engineering & Construction,Chennai,437
ITC,3.9,"Job Security, Skill Development",Promotions,FMCG,Bengaluru,383
Hindustan Unilever,4.2,"Skill Development, Company Culture, Work Life Balance",Promotions,FMCG,Mumbai,550
Megha Engineering & Infrastructures,3.9,Work Life Balance,Promotions,Engineering & Construction,Hyderabad,414
Tata Projects,4.2,Not Available,Not Available,Engineering & Construction,Mumbai,289
Cholamandalam Investment & Finance,3.8,Salary,Promotions,Financial Services,Chennai,873
Bajaj Life Insurance,3.8,Not Available,Not Available,Insurance,Pune,624
L&T Technology Services,3.1,Not Available,Not Available,IT Services & Consulting,Bengaluru,96
FIS,3.8,Work Life Balance,"Promotions, Job Security, Skill Development",FinTech,Pune,62
Oracle,3.3,Work Life Balance,"Promotions, Salary, Work Satisfaction",Software Product,Bengaluru,57
Omega Healthcare,3.8,Not Available,Not Available,BPO,Chennai,71
JLL,4.1,"Company Culture, Work Life Balance, Job Security",Promotions,Real Estate,Gurugram,89
Muthoot Finance,3.7,Not Available,Not Available,NBFC,Bengaluru,800
IIFL Finance,4.0,Not Available,Not Available,NBFC,Mumbai,820
eClerx,3.1,Not Available,Not Available,IT Services & Consulting,Pune,34
Indian Army,4.7,Not Available,Not Available,Defence & Aerospace,New Delhi,365
DMart,3.9,"Job Security, Company Culture",Promotions,Retail,Mumbai,257
PolicyBazaar,3.7,Salary,Work Life Balance,Internet,Gurugram,162
Piramal Finance,4.2,Not Available,Not Available,NBFC,Mumbai,437
Virtusa Consulting Services,3.7,Not Available,Not Available,IT Services & Consulting,Hyderabad,57
Indiamart Intermesh,3.5,Not Available,Not Available,Internet,Noida,170
HSBC Group,3.8,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",Financial Services,Bengaluru,64
HCL Group,3.5,Not Available,Not Available,IT Services & Consulting,Chennai,98
SMFG India Credit,3.9,Salary,Promotions,NBFC,Mumbai,611
Access Healthcare,3.7,Not Available,Not Available,BPO,Chennai,63
BigBasket,3.9,Job Security,Promotions,Internet,Bengaluru,146
ICICI Lombard General Insurance Company,3.5,Not Available,Not Available,Insurance,Mumbai,325
Siemens,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Industrial Automation,Bengaluru,157
Manappuram Finance,3.9,Not Available,Not Available,NBFC,Bengaluru,665
Firstsource Solutions,3.5,Not Available,Not Available,BPO,Bengaluru,74
GlobalLogic,3.5,Not Available,Not Available,IT Services & Consulting,Hyderabad,63
Aurobindo Pharma,4.0,"Job Security, Salary, Work Life Balance",Promotions,Pharma,Hyderabad,118
Tata Capital,3.9,"Job Security, Company Culture, Work Life Balance",Promotions,NBFC,Mumbai,457
Shapoorji Pallonji Group,4.1,"Job Security, Company Culture, Work Life Balance",Promotions,Engineering & Construction,Mumbai,191
UST,3.7,Work Life Balance,"Promotions, Salary, Job Security",IT Services & Consulting,Bengaluru,53
Standard Chartered,3.6,Not Available,Not Available,Banking,Chennai,72
Swiggy,3.7,Not Available,Not Available,Internet,Bengaluru,241
Mahindra Finance,3.8,Not Available,Not Available,NBFC,Mumbai,744
Apollo Hospitals,4.0,"Job Security, Skill Development, Company Culture",Promotions,Healthcare,Chennai,227
Udaan,3.9,Salary,"Job Security, Promotions",Internet,Bengaluru,367
Bosch Global Software Technologies,3.7,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,48
Citicorp,3.6,Salary,"Promotions, Work Satisfaction, Skill Development",Financial Services,Pune,69
Ashok Leyland,4.0,"Skill Development, Company Culture, Work Life Balance",Promotions,Automobile,Chennai,266
Hero MotoCorp,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Automobile,Gurugram,375
CGI Inc,4.0,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",IT Services & Consulting,Bengaluru,44
SBI Cards & Payment Services,3.6,Not Available,Not Available,Financial Services,Gurugram,451
Kalpataru Projects International,4.1,Not Available,Not Available,Engineering & Construction,Mumbai,329
Cyient,3.6,Not Available,Not Available,IT Services & Consulting,Hyderabad,50
NTT DATA,3.8,"Work Life Balance, Job Security",Promotions,IT Services & Consulting,Bengaluru,82
BNY,3.6,Not Available,Not Available,Financial Services,Pune,29
IQVIA,3.7,Work Life Balance,"Promotions, Salary, Work Satisfaction",Clinical Research,Bengaluru,68
Nagarjuna Construction Company,4.0,"Job Security, Work Life Balance, Skill Development",Promotions,Engineering & Construction,Hyderabad,301
Schneider Electric,4.1,"Company Culture, Work Life Balance, Job Security",Promotions,Industrial Automation,Bengaluru,123
SBI Life Insurance Company,3.7,Job Security,"Promotions, Work Life Balance, Work Satisfaction",Insurance,Mumbai,665
JustDial,3.5,Not Available,Not Available,Internet,Noida,239
CBRE,4.1,Not Available,Not Available,Real Estate,Hyderabad,93
TVS Motor,3.8,"Job Security, Skill Development, Salary",Promotions,Automobile,Hosur,357
State Bank of India,3.8,Not Available,Not Available,Banking,Mumbai,654
Persistent Systems,3.6,Not Available,Not Available,IT Services & Consulting,Pune,43
KEC International,4.0,"Job Security, Salary, Company Culture",Promotions,Engineering & Construction,Mumbai,321
ITC Infotech,3.8,"Work Life Balance, Job Security",Promotions,IT Services & Consulting,Bengaluru,70
Atos,3.8,Work Life Balance,"Promotions, Salary",IT Services & Consulting,Pune,51
Amdocs,3.6,Company Culture,"Promotions, Job Security, Work Satisfaction",Software Product,Pune,25
vivo,4.0,"Company Culture, Skill Development, Work Life Balance",Promotions,Consumer Electronics & Appliances,Noida,417
Varun Beverages,4.0,"Job Security, Work Life Balance, Skill Development",Promotions,Beverage,New Delhi,384
JBM Group,3.9,"Job Security, Skill Development",Promotions,Auto Components,Gurugram,120
Utkarsh Small Finance Bank,3.6,Not Available,Not Available,Banking,Varanasi,426
Ecom Express,4.1,Not Available,Not Available,Logistics,Gurugram,782
Nagarro,3.9,"Work Life Balance, Company Culture",Promotions,IT Services & Consulting,Gurugram,49
Randstad,3.7,Not Available,Not Available,Recruitment,Hyderabad,372
Eviden,3.6,Work Life Balance,"Promotions, Salary, Job Security",IT Services & Consulting,Pune,40
EY Global Delivery Services ( EY GDS),3.5,Job Security,"Promotions, Work Satisfaction, Work Life Balance",IT Services & Consulting,Bengaluru,58
Bosch,4.1,"Work Life Balance, Company Culture, Skill Development",Promotions,Auto Components,Bengaluru,134
Intas Pharmaceuticals,4.1,Not Available,Not Available,Pharma,Ahmedabad,151
Havells,3.9,"Work Life Balance, Salary",Promotions,Electrical Equipment,Noida,269
L&T Finance,3.9,Salary,Promotions,NBFC,Mumbai,660
Hetero,3.9,"Job Security, Work Life Balance",Promotions,Pharma,Hyderabad,73
Hewlett Packard Enterprise,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,IT Services & Consulting,Bengaluru,105
Aditya Birla Fashion and Retail,4.0,"Job Security, Skill Development, Company Culture",Promotions,Fashion & Textile,Bengaluru,295
R1 RCM,3.8,Job Security,Promotions,BPO,New Delhi,50
Cars24,3.4,Not Available,Not Available,Internet,Gurugram,173
Tata AIA Life Insurance,3.9,"Job Security, Skill Development, Salary",Promotions,Insurance,Mumbai,458
Mahindra Logistics,3.7,Not Available,Not Available,Logistics,Mumbai,234
Dell,3.8,"Work Life Balance, Company Culture","Promotions, Job Security",Consumer Electronics & Appliances,Bengaluru,118
Home Credit Finance,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,NBFC,Gurugram,141
Lenskart,3.3,Not Available,Not Available,Internet,New Delhi,257
Berger Paints,3.7,Not Available,Not Available,Chemicals,Kolkata,373
Deutsche Bank,3.8,"Work Life Balance, Job Security, Company Culture","Promotions, Skill Development",Banking,Pune,43
Motilal Oswal Financial Services,3.7,Skill Development,"Promotions, Work Life Balance, Work Satisfaction",Financial Services,Mumbai,171
OPPO,3.9,Skill Development,"Promotions, Job Security",Consumer Electronics & Appliances,Greater Noida,414
Hyundai Motor India Limited,4.1,"Job Security, Salary, Company Culture",Promotions,Automobile,Chennai,295
TeamLease Services,3.9,Work Life Balance,Promotions,Recruitment,Bengaluru,409
VE Commercial Vehicles,3.9,"Job Security, Company Culture, Skill Development","Promotions, Salary",Automobile,Indore,184
Thermax Limited,4.2,"Job Security, Company Culture, Work Life Balance",Promotions,Industrial Machinery,Pune,262
Jubilant Foods Works,3.7,Not Available,Not Available,Hospitality,New Delhi,273
Carelon Global Solutions,3.9,"Company Culture, Job Security, Work Life Balance",Promotions,IT Services & Consulting,Bengaluru,21
Macleods Pharmaceuticals,3.7,Job Security,"Promotions, Company Culture",Pharma,Mumbai,140
Aakash Educational Services,3.2,Not Available,Not Available,Education & Training,New Delhi,252
Jindal Steel Limited,3.9,Skill Development,Promotions,Iron & Steel,Angul,177
Bajaj Auto,3.8,Not Available,Not Available,Automobile,Pune,327
State Street Corporation,3.5,Not Available,Not Available,Financial Services,Bengaluru,37
Hindalco Industries,4.2,Not Available,Not Available,Metals & Mining,Sambalpur,134
LG Electronics,3.8,Job Security,Promotions,Consumer Electronics & Appliances,Pune,304
Kogta Financial India Limited,4.6,Not Available,Not Available,NBFC,Jaipur,261
HDFC ERGO General Insurance,3.9,"Work Life Balance, Company Culture, Job Security",Promotions,Insurance,Mumbai,329
DCB Bank,3.8,Work Life Balance,Promotions,Banking,Mumbai,350
Royal Enfield,4.2,"Work Life Balance, Skill Development, Company Culture",Promotions,Automobile,Chennai,376
John Deere,4.0,"Company Culture, Work Life Balance, Skill Development",Promotions,Industrial Machinery,Pune,158
RBL Bank,3.5,Not Available,Not Available,Banking,Mumbai,295
Publicis Sapient,3.2,Not Available,Not Available,IT Services & Consulting,Bengaluru,48
Tata Communications,3.8,Work Life Balance,"Promotions, Salary",Telecom,Pune,103
Cummins,4.3,Not Available,Not Available,Industrial Machinery,Pune,118
Alembic Pharmaceuticals,3.9,Not Available,Not Available,Pharma,Vadodara,190
Cloudnine Hospital,4.5,Not Available,Not Available,Healthcare,Bengaluru,47
Bank of America,4.1,"Job Security, Work Life Balance, Company Culture",Promotions,Banking,Gurugram,35
Pidilite Industries,4.2,"Job Security, Work Life Balance, Company Culture",Promotions,Chemicals,Mumbai,323
Grasim Industries,4.0,"Job Security, Skill Development, Company Culture",Promotions,Building Material,Bharuch,265
Aditya Birla Sun Life Insurance,4.0,Not Available,Not Available,Insurance,Mumbai,515
Oyo Rooms,2.9,Not Available,Not Available,Hospitality,Gurugram,122
Kyndryl,3.9,"Work Life Balance, Company Culture, Skill Development",Promotions,IT Services & Consulting,Bengaluru,40
PNB MetLife,3.3,Not Available,Not Available,Insurance,New Delhi,436
American Express,4.1,"Company Culture, Work Life Balance, Job Security",Promotions,Financial Services,Gurugram,55
Aditya Birla Capital,3.8,Not Available,Not Available,NBFC,Mumbai,354
Subros,3.7,"Job Security, Skill Development","Salary, Promotions",Auto Components,Noida,89
ADP Private Limited,3.8,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",Software Product,Hyderabad,42
KPIT Technologies,2.8,Not Available,Not Available,Software Product,Pune,44
Escorts Kubota Limited,4.1,"Work Life Balance, Company Culture, Skill Development",Promotions,Industrial Machinery,Faridabad,161
Viatris,4.1,Not Available,Not Available,Pharma,Hyderabad,81
Maersk,3.9,"Work Life Balance, Company Culture",Promotions,Logistics,Chennai,51
XpressBees,4.1,Not Available,Not Available,Logistics,Pune,483
Altruist Technologies,4.4,Not Available,Not Available,BPO,Bengaluru,44
PVR INOX,3.9,Job Security,Promotions,Media & Entertainment,New Delhi,153
JK Cement,4.0,Salary,Promotions,Building Material,New Delhi,335
Birlasoft,3.4,Not Available,Not Available,IT Services & Consulting,Pune,51
Synechron,3.4,Not Available,Not Available,IT Services & Consulting,Pune,34
Reliance Communications,4.0,"Skill Development, Company Culture, Work Life Balance",Promotions,Telecom,Mumbai,469
PhonePe,4.0,Not Available,Not Available,FinTech,Bengaluru,411
Blinkit,3.8,Salary,Promotions,Internet,Gurugram,164
Glenmark Pharmaceuticals,3.8,Not Available,Not Available,Pharma,Mumbai,195
Kotak Mahindra Life Insurance Company,3.5,Not Available,Not Available,Insurance,Mumbai,260
Bharat Electronics,4.2,Not Available,Not Available,Electronics Manufacturing,Bengaluru,89
Dabur,3.8,Salary,Promotions,FMCG,New Delhi,323
Sodexo,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Hospitality,Mumbai,163
Cogent E Services,3.1,Not Available,Not Available,BPO,Noida,59
Godrej & Boyce Manufacturing,3.8,Job Security,Promotions,Consumer Electronics & Appliances,Mumbai,176
UNO Minda,3.9,"Job Security, Company Culture, Skill Development",Promotions,Auto Components,Pune,113
ArcelorMittal Nippon Steel India,4.1,Not Available,Not Available,Iron & Steel,Surat,91
Ipca Laboratories,3.8,"Job Security, Work Life Balance","Promotions, Salary",Pharma,Mumbai,166
Abbott,4.1,"Work Life Balance, Salary, Company Culture",Promotions,Pharma,Mumbai,216
Aarti Industries,4.1,Not Available,Not Available,Agro Chemicals,Bharuch,61
Samvardhana Motherson Group,3.7,Job Security,"Promotions, Company Culture, Work Satisfaction",Auto Components,Noida,95
Reliance Projects & Property Management Services,4.0,"Job Security, Skill Development, Company Culture",Promotions,Other,Kolkata,627
Reliance Digital,4.1,Not Available,Not Available,Retail,Mumbai,387
IGT Solutions,3.2,Not Available,Not Available,BPO,New Delhi,49
MRF Tyres,3.6,Not Available,Not Available,Auto Components,Chennai,196
Indian Oil Corporation,4.4,Not Available,Not Available,Oil & Gas,New Delhi,313
"NTT DATA, Inc.",3.9,"Work Life Balance, Company Culture, Job Security",Promotions,IT Services & Consulting,Bengaluru,39
Alkem Laboratories,3.9,Not Available,Not Available,Pharma,Mumbai,202
Johnson Controls,3.5,Not Available,Not Available,Industrial Automation,Pune,59
Honda Motorcycle & Scooter,4.1,"Job Security, Company Culture, Work Life Balance",Promotions,Automobile,Gurugram,304
[24]7.ai,3.4,Not Available,Not Available,Hospitality,Bengaluru,37
Vishal Mega Mart,3.7,Salary,"Company Culture, Work Satisfaction, Job Security",Retail,New Delhi,383
Hindustan Coca Cola Beverages,4.0,"Salary, Skill Development, Company Culture",Promotions,Beverage,Bengaluru,266
Barclays,3.7,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",Banking,Pune,39
DTDC Express,3.7,Not Available,Not Available,Logistics,New Delhi,275
Bajaj General Insurance Limited,3.7,Not Available,Not Available,Insurance,Pune,311
UBS,3.8,Work Life Balance,"Promotions, Job Security",Financial Services,Pune,20
IndusInd Nippon Life Insurance,3.4,Not Available,Not Available,Mumbai +494 other locations,Not Available,1
RSPL Group,4.0,"Job Security, Work Life Balance, Company Culture",Promotions,FMCG,Kanpur,264
ABB,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Industrial Machinery,Bengaluru,110
TVS Credit Services Ltd,4.2,Not Available,Not Available,NBFC,Chennai,450
AGS Health,4.0,"Company Culture, Job Security, Work Life Balance",Promotions,Analytics & KPO,Chennai,65
Ceat Tyres,3.9,"Job Security, Company Culture, Skill Development","Promotions, Salary",Auto Components,Nagpur,144
NatWest Group,3.9,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",Banking,Gurugram,30
Ford Motor,4.2,Not Available,Not Available,Automobile,Chennai,132
HARMAN,3.8,"Work Life Balance, Company Culture",Promotions,Consumer Electronics & Appliances,Bengaluru,43
Alstom Transportation,3.7,Job Security,"Promotions, Company Culture, Work Satisfaction",Engineering & Construction,Bengaluru,81
Croma,3.8,"Work Life Balance, Skill Development",Promotions,Retail,Mumbai,194
Niva Bupa Health Insurance Company,4.0,Not Available,Not Available,Insurance,New Delhi,326
InterGlobe Aviation,3.4,Not Available,Not Available,Aviation,New Delhi,105
Conduent,3.4,Not Available,Not Available,BPO,Bengaluru,37
Tata AIG,4.0,"Job Security, Company Culture, Work Life Balance",Promotions,Insurance,Mumbai,264
Tata Technologies,3.4,Not Available,Not Available,Automobile,Pune,60
Indian Air Force,4.6,Not Available,Not Available,Defence & Aerospace,New Delhi,136
Sagility,3.9,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",BPO,Bengaluru,30
GeBBS Healthcare Solutions,3.8,Job Security,"Promotions, Salary",BPO,Mumbai,27
Canara HSBC Life Insurance,4.1,Not Available,Not Available,Insurance,Gurugram,370
Tata AutoComp Systems,3.7,Job Security,"Promotions, Salary, Company Culture",Auto Components,Pune,84
Jindal Stainless,4.1,Not Available,Not Available,Iron & Steel,Jajpur,79
UPL,4.1,"Job Security, Work Life Balance, Skill Development",Promotions,Agro Chemicals,Ankleshwar,186
PepsiCo,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Food Processing,Hyderabad,283
Ambuja Cements,3.9,Not Available,Not Available,Building Material,Ahmedabad,302
Max Healthcare,4.0,"Job Security, Skill Development, Company Culture",Promotions,Healthcare,New Delhi,79
Mankind Pharma,3.8,Not Available,Not Available,Pharma,New Delhi,251
Titan Company,4.2,"Company Culture, Job Security, Work Life Balance",Promotions,Retail,Bengaluru,187
Allcargo Logistics,3.8,Not Available,Not Available,Logistics,Mumbai,176
Amazon Transportation Services,4.2,Not Available,Not Available,Logistics,Hyderabad,227
Dilip Buildcon,3.9,Salary,"Promotions, Job Security",Engineering & Construction,Bhopal,231
S&P Global,3.9,"Company Culture, Work Life Balance",Promotions,Analytics & KPO,Hyderabad,49
Societe Generale Global Solution Centre,3.6,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,25
Walmart,3.4,Not Available,Not Available,Retail,Bengaluru,92
MSN Laboratories,3.6,Job Security,"Company Culture, Work Life Balance, Work Satisfaction",Pharma,Hyderabad,108
Quest Global,3.5,Not Available,Not Available,IT Services & Consulting,Bengaluru,50
Varroc Group,3.6,Not Available,Not Available,Auto Components,Pune,64
Afcons Infrastructure,4.2,Not Available,Not Available,Engineering & Construction,Mumbai,126
Ola Electric Mobility,3.3,Salary,"Job Security, Promotions, Company Culture",Automobile,Bengaluru,447
ESAF Small Finance Bank,3.6,Not Available,Not Available,Banking,Thrissur,461
Marpu Foundation,4.9,Not Available,Not Available,Non-Profit,Hyderabad,62
Tata Electronics,3.8,Job Security,"Promotions, Salary",Semiconductors,Hosur,63
IDFC FIRST Bharat,4.2,Not Available,Not Available,Financial Services,Chennai,448
Torrent Pharmaceuticals,4.0,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",Pharma,Ahmedabad,134
DS Group,4.0,"Work Life Balance, Job Security, Salary",Promotions,FMCG,Noida,295
Tata Elxsi,3.4,Not Available,Not Available,IT Services & Consulting,Bengaluru,33
Zepto,3.6,Not Available,Not Available,Internet,Bengaluru,111
Bharat Financial Inclusion,3.7,Salary,"Promotions, Work Satisfaction",Financial Services,Hyderabad,514
Square Yards,3.5,Not Available,Not Available,Internet,Gurugram,52
HDFC Sales,3.9,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary",Financial Services,Mumbai,355
Zensar Technologies,3.7,Work Life Balance,"Promotions, Job Security, Work Satisfaction",IT Services & Consulting,Pune,30
Suzlon Group,4.0,"Job Security, Skill Development, Company Culture","Promotions, Salary",Power,Pune,149
Indus Towers,3.6,Not Available,Not Available,Telecom,Gurugram,246
Future Group,4.2,Not Available,Not Available,Retail,Mumbai,208
Fujitsu,3.8,"Work Life Balance, Company Culture","Promotions, Salary",IT Services & Consulting,Pune,42
CMS IT Services,3.1,Not Available,Not Available,IT Services & Consulting,Mumbai,154
I Process Services,3.8,Work Life Balance,"Promotions, Salary",Recruitment,Mumbai,408
Eternal Limited,3.6,Not Available,Not Available,Internet,Gurugram,221
VVDN Technologies,3.6,Not Available,Not Available,IT Services & Consulting,Gurugram,52
ACC,3.9,Not Available,Not Available,Building Material,Mumbai,279
IKS Health,3.5,Not Available,Not Available,BPO,Mumbai,34
Yazaki,3.9,"Job Security, Skill Development",Promotions,Auto Components,Pune,95
Nokia,4.0,"Work Life Balance, Company Culture",Promotions,Telecom,Bengaluru,166
Shoppers Stop,3.9,"Company Culture, Work Life Balance, Job Security",Promotions,Retail,Mumbai,86
Shree Cement,3.8,Not Available,Not Available,Building Material,Beawar,271
Apollo Tyres,4.0,"Company Culture, Work Life Balance, Job Security",Promotions,Auto Components,Chennai,183
Fiserv,2.8,Not Available,Not Available,FinTech,Pune,34
Britannia,4.0,"Job Security, Skill Development",Promotions,Hospitality,Pune,308
Landmark Group,3.8,Job Security,Promotions,Retail,Bengaluru,176
Exl India,3.5,Job Security,"Promotions, Salary, Skill Development",Logistics,New Delhi,46
Dalmia Bharat Cement,3.9,"Job Security, Salary",Promotions,Building Material,Guwahati,256
Physicswallah,3.6,Not Available,Not Available,EdTech,Noida,147
SRF,4.1,"Job Security, Salary, Work Life Balance",Promotions,Chemicals,Bharuch,69
Kansai Nerolac Paints,3.8,Not Available,Not Available,Chemicals,Mumbai,266
Blue Dart Express Ltd,3.9,"Job Security, Company Culture, Work Life Balance",Promotions,Logistics,Mumbai,281
ZS,3.0,Not Available,Not Available,Management Consulting,Pune,18
